"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","722","TC-273 Check 'Виробник транспортного засобу' input field","Unit Edit functionality","Fri Nov 22 12:05:48 UTC 2024","skipped","Fri Nov 22 12:05:49 UTC 2024","","","",""
"","33634","TC-1004 Confirm the proposal","Proposal functionality","Fri Nov 22 12:07:08 UTC 2024","failed","Fri Nov 22 12:07:41 UTC 2024","","","",""
"","22","Check the pagination on the ""Обрані оголошення"" page","Favorite units","Fri Nov 22 12:06:26 UTC 2024","skipped","Fri Nov 22 12:06:26 UTC 2024","","","",""
"","24","TC-743","Unit Edit functionality","Fri Nov 22 12:08:19 UTC 2024","skipped","Fri Nov 22 12:08:19 UTC 2024","","","",""
"","672","TC-1002 Verify upload image field when order by ad","Order by ad functionality","Fri Nov 22 12:07:03 UTC 2024","skipped","Fri Nov 22 12:07:04 UTC 2024","","","",""
"","721","TC-272 Check 'Назва оголошення' input field","Unit Edit functionality","Fri Nov 22 12:05:48 UTC 2024","skipped","Fri Nov 22 12:05:49 UTC 2024","","","",""
"","22","""Всі категорії"" dropdown menu functionality","Favorite units","Fri Nov 22 12:06:26 UTC 2024","skipped","Fri Nov 22 12:06:26 UTC 2024","","","",""
"","728","TC-534 Check 'Опис' input field","Unit Edit functionality","Fri Nov 22 12:05:48 UTC 2024","skipped","Fri Nov 22 12:05:49 UTC 2024","","","",""
"","34034","TC-1000 Order by ad","Order by ad functionality","Fri Nov 22 12:06:30 UTC 2024","failed","Fri Nov 22 12:07:04 UTC 2024","","","",""
"","36314","Verify that unit displayed in ""Очікуючі"" tab","Create and delete unit functionality","Fri Nov 22 12:04:35 UTC 2024","failed","Fri Nov 22 12:05:11 UTC 2024","","","",""
"","733","TC-1006 verify proposal page elements","Proposal functionality","Fri Nov 22 12:07:41 UTC 2024","skipped","Fri Nov 22 12:07:41 UTC 2024","","","",""
"","729","TC-535 Check 'Місце розташування технічного засобу' functionality","Unit Edit functionality","Fri Nov 22 12:05:48 UTC 2024","skipped","Fri Nov 22 12:05:49 UTC 2024","","","",""
